**banking___survey___at_current_exchange_rate,unnamed:_1,2014,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,2015,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25,2016,unnamed:_27,unnamed:_28,unnamed:_29,unnamed:_30,unnamed:_31,unnamed:_32,unnamed:_33,unnamed:_34,unnamed:_35,unnamed:_36,unnamed:_37,2017,unnamed:_39,unnamed:_40,unnamed:_41,unnamed:_42,unnamed:_43,unnamed:_44,unnamed:_45,unnamed:_46,unnamed:_47,unnamed:_48,unnamed:_49,2018,unnamed:_51,unnamed:_52,unnamed:_53,unnamed:_54,unnamed:_55,unnamed:_56,unnamed:_57,unnamed:_58,unnamed:_59,unnamed:_60,unnamed:_61,2019,unnamed:_63,unnamed:_64,unnamed:_65,unnamed:_66,unnamed:_67,unnamed:_68,unnamed:_69,unnamed:_70,unnamed:_71,unnamed:_72,unnamed:_73,2020,unnamed:_75,unnamed:_76,unnamed:_77,unnamed:_78,unnamed:_79,unnamed:_80,unnamed:_81,unnamed:_82,unnamed:_83,unnamed:_84,unnamed:_85,2021,unnamed:_87,unnamed:_88,unnamed:_89,unnamed:_90,unnamed:_91,unnamed:_92,unnamed:_93,unnamed:_94,unnamed:_95,unnamed:_96,unnamed:_97,2022,unnamed:_99,unnamed:_100,unnamed:_101,unnamed:_102,unnamed:_103,unnamed:_104,unnamed:_105,unnamed:_106,unnamed:_107,unnamed:_108,unnamed:_109,2023,unnamed:_111,unnamed:_112,unnamed:_113,unnamed:_114,unnamed:_115,unnamed:_116,unnamed:_117,unnamed:_118,unnamed:_119,unnamed:_120,unnamed:_121,2024,unnamed:_123,unnamed:_124,unnamed:_125,unnamed:_126,unnamed:_127,unnamed:_128,unnamed:_129,unnamed:_130,unnamed:_131,unnamed:_132,unnamed:_133,2025,unnamed:_135,unnamed:_136,unnamed:_137,unnamed:_138,unnamed:_139,unnamed:_140,unnamed:_141,unnamed:_142,unnamed:_143,unnamed:_144
,(KSHS M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov
,Public Non Financial Corp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Credit to Other Financial Corporations(Net),-255.3397627,-253.9310977,-258.2579497,-261.6681098,-272.6057659,-261.9782348,-267.2073726,-247.5602722,-244.2305399,-238.3902515,-241.8838766,-241.970367,-245.7061705,-241.6678225,-236.3837589,-250.3329909,-250.8278059,-254.5476833,-253.4363373,-250.9700872,-256.6698457,-251.1808016,-251.2444102,-247.0325468,-241.4536234,-241.0475405,-241.932608,-239.5609592,-242.9899079,-240.7611507,-228.1155959,-223.8405959,-221.0524725,-223.5193091,-222.3986018,-223.4250064,-235.8479373,-231.5616098,-231.9079965,-232.6471799,-234.0469954,-233.0223294,-222.0646575,-212.1926168,-214.8282811,-218.6443838,-219.5355141,-222.3587285,-220.0733352,-219.279542,-220.8197558,-217.9893728,-222.2619778,-226.5333831,-203.9844271,-204.2005738,-209.9724459,-213.7966972,-207.5811547,-211.304111,-209.621466,-205.5034587,-208.4958126,-211.906255,-213.1512689,-214.3105923,-203.465939,-200.6286193,-203.2975443,-204.2227148,-204.2627169,-203.4194679,-204.2677438,-206.5951369,-216.4525973,-223.8933773,-224.7868545,-223.2740109,-205.7258411,-201.8204495,-203.3955039,-203.9914975,-208.3609687,-208.946354,-213.3654589,-210.8218541,-210.950953,-208.615528,-212.6465188,-218.6015425,-197.7574729,-203.9781021,-207.5126185,-210.4712939,-217.3937104,-219.8863783,-223.7332357,-225.4154382,-228.944685,-233.1926975,-235.19809,-243.9342327,-224.9360646,-232.576358,-232.1312402,-237.9008283,-246.7298344,-253.6423648,-256.4261174,-264.6744161,-278.4527626,-282.9892782,-293.7287043,-311.9749857,-318.7464253,-304.5146354,-313.3772998,-326.4534858,-341.2650149,-333.7641226,-340.7808578,-315.2636666,-289.976986,-301.2040278,-302.3313952,-308.088744,-291.9140582,-290.9777433,-284.3022653,-283.5196509,-307.0124597,-313.3234654,-311.8856135,-323.4165219,-322.0683085,-319.1258793,-318.7060761,-314.0302849,-326.8715836,-328.3668457,-329.8213423,-335.6354296,-341.4281053
,Credit to Other Depository Corporations,"4,014","4,027","-14,344","-22,955","-31,600","4,037","4,689","33,144","-28,656","-20,782","-27,848","-2,200","3,915","-34,273","-38,657","2,633",-236.1664348,"-25,752","-22,004","-61,624","-26,980","25,380","16,845","-17,676","-15,895","-28,520","-4,004","-19,816","11,280","7,529","38,473","32,950","46,703","36,964","55,054","48,114","36,119","-10,203","-13,345","6,090","17,130","27,332","29,963","19,799","69,781","46,744","47,497","33,683","29,317","37,319","38,670","14,300","18,900","37,953","54,273","35,334","63,658","21,748","57,668","29,080","16,861","75,136","5,198","84,173","54,926","-17,108","-25,361","-19,714","-12,914","-30,261","36,087","16,878","36,930","36,851","5,013","38,490","4,506","-124,610","-14,968","79,878","94,379","64,590","59,419","67,656","87,164","43,169","67,361","40,831","40,343",487.8865463,"-66,415","-9,824","55,380","33,060","34,883","83,360","103,827","141,723","96,112","112,376","87,728","76,860","83,715","104,513","128,285","99,619","106,455","133,577","147,578","136,676","138,605",210928.0447,182809.9983,104304.9659,64033.36176,147207.9471,171711.1094,191067.209,214354.3907,250841.7869,192809.6671,191467.1278,222172.204,266013.2643,233850.2821,267986.7898,186771.6658,264138.9002,195309.3062,152309.3868,143910.7669,118315.79,79134.2072,8142.475073,15788.8982,31385.19987,-116299.9143,-20872.8264,-122036.1984,28549.35159,-41497.01971,-101161.7105,-60524.81836
,Private sector credit (CBK staff loans),"3,787","3,780","3,765","3,750","3,723","3,708","3,719","3,707","3,685","3,659","3,650","3,651","3,635","3,619","3,595","3,612","3,559","3,541","3,538","3,574","3,590","3,584","3,561","3,551","3,527","3,509","3,492","3,490","3,462","3,455","3,430","3,423","3,413","3,436","3,457","3,473","3,413","3,428","3,416","3,399","3,403","3,395","3,085","3,419","3,427","3,196","3,421","3,458","3,433","3,392","3,367","3,392","3,385","3,356","3,340","3,343","3,353","3,367","3,383","3,363","3,388","3,370","3,363","3,390","3,417","3,416","3,453","3,444","3,420","3,442","3,457","3,481","3,464","3,435","3,419","3,367","3,341","3,324","3,323","3,339","3,346","3,329","3,311","3,315","3,313","3,286","3,275","3,259","3,231","3,177","3,190","3,207","3,195","3,204","3,240","3,309","3,376","3,612","3,662","3,685","3,721","3,780","3,772","3,739","3,812","3,840","3,739","3,743","3,693","3,843","3,807",3844.192388,3755.401112,3763.484388,3757.986768,3787.019119,3756.427885,3739.680176,3756.627344,3787.871157,3768.768399,3749.139763,3797.603813,3793.439146,3750.001892,3696.71233,3701.983789,3676.107454,3632.543831,3664.596543,3650.972173,3646.072592,3641.343563,3553.123827,3669.450057,3700.816726,3644.170805,3739.625574,3732.069262,3768.75612,3757.713648,3845.84272,3870.887958
,Other Items (Net),"-47,593","-49,997","-63,496","-79,305","-55,539","-57,540","-56,085","-55,837","-85,572","-56,399","-59,106","-66,544","-57,364","-89,004","-75,294","-76,479","-92,963","-104,577","-121,202","-128,849","-130,780","-119,866","-142,079","-114,267","-109,660","-122,970","-106,696","-100,207","-104,670","-95,619","-96,601","-95,215","-92,726","-108,289","-92,145","-95,992","-110,417","-107,172","-104,735","-109,194","-109,146","-119,313","-135,929","-114,518","-118,310","-116,422","-115,502","-119,305","-121,446","-112,585","-107,683","-149,845","-114,010","-108,471","-103,033","-100,671","-100,619","-107,100","-113,077","-114,741","-113,200","-107,367","-116,423","-120,689","-133,315","-135,265","-152,726","-146,072","-161,286","-149,143","-143,014","-137,741","-132,722","-136,787","-154,983","-179,689","-178,297","-176,250","-193,046","-211,465","-197,784","-199,511","-226,405","-208,999","-216,447","-209,912","-206,520","-198,159","-210,389","-197,403","-207,840","-219,378","-217,506","-223,970","-234,131","-237,846","-255,089","-250,684","-237,911","-238,649","-247,225","-249,030","-258,967","-263,503","-254,836","-280,365","-262,976","-282,641","-296,266","-308,329","-350,497",-374047.0305,-388321.7499,-401766.8834,-440475.165,-429247.6239,-461225.0078,-481795.5198,-511685.6855,-536209.1225,-575575.8874,-464301.0556,-401337.2385,-414752.5664,-409353.8062,-394550.4924,-418313.7151,-423914.8671,-380862.0753,-400287.8176,-417761.2385,-404253.4848,-408540.0351,-412897.2017,-424001.5862,-436282.5776,-445770.1042,-450095.0859,-463265.4756,-449345.1207,-456295.958,-457151.6047,-507353.239
,Of which;  Capital Accounts,"58,968","61,071","61,614","64,340","67,318","70,262","70,730","71,520","72,780","72,314","74,763","73,646","73,269","72,864","71,987","92,485","108,778","120,888","133,482","144,295","149,490","136,049","137,392","134,735","128,643","121,511","124,789","126,563","123,955","117,082","115,171","115,194","116,144","110,437","116,126","118,295","130,977","127,576","125,291","129,263","128,304","133,562","140,494","136,666","140,597","138,319","138,427","142,186","143,869","135,248","131,207","127,267","137,415","131,624","128,046","125,684","132,159","138,819","146,164","139,750","139,944","136,286","144,534","150,133","150,978","164,025","175,223","171,341","177,297","175,960","168,647","163,329","157,996","162,974","181,959","213,690","212,440","203,423","213,186","229,432","218,561","221,762","235,148","231,561","239,268","236,975","234,348","224,865","225,407","216,513","226,275","237,255","236,003","242,401","252,114","255,626","256,906","257,195","255,162","255,638","264,182","264,401","275,507","278,796","269,897","274,823","285,973","296,467","307,659","320,387","362,763",385729.559,399630.0707,411339.483,432816.9797,435937.7984,467933.6651,486714.7512,517017.5184,538207.057,576311.0696,465643.0739,403069.0103,415772.2896,406506.6407,398177.4426,423861.2997,429296.5109,386302.766,404326.7259,409043.1797,406611.4641,412581.9158,415923.4714,428446.7183,441864.1174,453226.6026,455917.1997,471923.9064,457808.8033,463431.751,466364.2881,516725.3252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,677975.9026,687686.3217,701404.2711
,Reserve Money,"302,321","315,488","309,812","315,275","315,344","323,733","304,654","357,053","322,756","348,605","326,498","379,690","350,152","351,626","346,280","353,098","362,730","368,483","383,330","367,464","376,697","433,876","391,071","392,430","381,879","383,881","401,900","384,973","390,401","390,186","383,650","392,625","392,829","401,771","393,108","411,145","401,298","394,842","414,947","408,213","410,535","401,221","419,641","422,662","424,522","416,920","417,428","438,778","434,555","419,865","418,246","419,270","432,966","432,788","428,413","450,500","449,921","447,565","455,043","492,024","457,849","439,614","456,477","453,893","485,517","439,771","423,219","421,007","407,765","412,724","427,087","461,093","441,326","449,679","445,509","435,756","432,119","426,882","444,922","476,505","452,208","444,961","461,299","469,864","442,253","444,764","450,956","455,392","469,299","449,795","459,103","479,614","478,812","477,568","482,578","521,619","493,350","494,175","479,329","508,826","510,856","518,925","533,176","564,382","554,781","526,460","514,443","516,457","539,526","518,228","508,639",509805.7626,542108.0911,488273.0487,533107.0258,560300.8724,587239.9933,560728.414,580436.8892,595457.7504,564415.9696,600130.8252,578088.77,554960.8887,565197.0993,579719.6505,587849.6483,600023.6028,580218.0331,607286.1929,613024.1389,622094.516,600367.4066,528883.3739,583371.7842,566774.0376,563900.8645,572257.6091,545551.6868,605608.0015,576708.157,572751.2505,584945.1709
,Currency in circulation,"197,528","197,682","198,946","199,734","196,751","199,966","206,570","205,927","200,785","207,518","210,315","221,930","212,859","214,127","218,136","220,196","219,536","222,178","229,128","228,228","221,990","225,946","229,919","240,931","224,633","227,828","231,976","236,080","231,584","234,751","238,469","238,402","232,685","246,033","247,189","262,734","242,991","244,239","245,513","250,506","247,204","253,787","261,910","258,430","250,695","259,865","263,853","279,159","258,860","260,326","262,622","261,351","260,740","262,504","267,937","268,007","257,695","269,219","271,137","288,299","262,376","265,870","271,923","274,023","270,490","249,509","249,060","242,711","207,066","227,072","238,893","258,945","242,056","241,960","246,779","243,241","249,439","257,792","268,506","268,027","268,121","272,809","276,498","290,544","273,798","280,787","281,586","276,011","277,923","277,129","294,871","288,922","282,844","284,331","292,019","310,278","298,969","297,590","301,745","308,731","303,839","305,350","322,244","315,954","305,580","303,251","309,598","325,866","315,131","311,252","308,384",309446.1827,304792.567,315967.1124,331612.5473,329281.8461,321983.9569,329985.3567,333723.7916,351274.9007,334331.5139,333333.5542,337667.9715,334818.3137,328719.5113,333794.6044,346598.7562,339255.4793,332222.1754,345646.3782,354835.4538,371696.0798,346807.5817,350230.1508,353203.6549,354351.1707,351827.9214,356814.5828,365892.8296,365438.2484,363054.7957,375910.984,385335.7504
,Banks Reserves at CBK,"104,793","117,806","110,866","115,541","118,593","123,767","98,084","151,126","121,971","141,087","116,183","157,761","137,294","137,499","128,144","132,901","143,194","146,305","154,202","139,236","154,707","207,930","161,151","151,499","157,246","156,053","169,924","148,893","158,817","155,435","145,182","154,223","160,143","155,738","145,919","148,411","158,307","150,604","169,434","157,706","163,331","147,434","157,732","164,232","173,826","157,055","153,575","159,619","175,696","159,539","155,624","157,919","172,225","170,284","160,476","182,493","192,226","178,346","183,906","203,725","195,473","173,744","184,554","179,870","215,026","190,262","174,159","178,297","200,699","185,652","188,194","202,148","199,270","207,720","198,730","192,514","182,680","169,091","176,415","208,477","184,087","172,151","184,801","179,321","168,455","163,977","169,369","179,381","191,376","172,665","164,232","190,692","195,968","193,237","190,559","211,341","194,381","196,585","177,584","200,096","207,016","213,575","210,931","248,429","249,201","223,210","204,845","190,591","224,394","206,976","200,255",200359.58,237315.5241,172305.9363,201494.4786,231019.0263,265256.0363,230743.0572,246713.0976,244182.8497,230084.4557,266797.2711,240420.7986,220142.5749,236477.588,245925.0461,241250.8921,260768.1235,247995.8577,261639.8147,258188.6851,250398.4362,253559.8248,178653.2232,230168.1293,212422.8669,212072.9432,215443.0263,179658.8573,240169.7531,213653.3613,196840.2666,199609.4205
