**banking___survey___at_current_exchange_rate,unnamed:_1,2014,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,2015,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25,2016,unnamed:_27,unnamed:_28,unnamed:_29,unnamed:_30,unnamed:_31,unnamed:_32,unnamed:_33,unnamed:_34,unnamed:_35,unnamed:_36,unnamed:_37,2017,unnamed:_39,unnamed:_40,unnamed:_41,unnamed:_42,unnamed:_43,unnamed:_44,unnamed:_45,unnamed:_46,unnamed:_47,unnamed:_48,unnamed:_49,2018,unnamed:_51,unnamed:_52,unnamed:_53,unnamed:_54,unnamed:_55,unnamed:_56,unnamed:_57,unnamed:_58,unnamed:_59,unnamed:_60,unnamed:_61,2019,unnamed:_63,unnamed:_64,unnamed:_65,unnamed:_66,unnamed:_67,unnamed:_68,unnamed:_69,unnamed:_70,unnamed:_71,unnamed:_72,unnamed:_73,2020,unnamed:_75,unnamed:_76,unnamed:_77,unnamed:_78,unnamed:_79,unnamed:_80,unnamed:_81,unnamed:_82,unnamed:_83,unnamed:_84,unnamed:_85,2021,unnamed:_87,unnamed:_88,unnamed:_89,unnamed:_90,unnamed:_91,unnamed:_92,unnamed:_93,unnamed:_94,unnamed:_95,unnamed:_96,unnamed:_97,2022,unnamed:_99,unnamed:_100,unnamed:_101,unnamed:_102,unnamed:_103,unnamed:_104,unnamed:_105,unnamed:_106,unnamed:_107,unnamed:_108,unnamed:_109,2023,unnamed:_111,unnamed:_112,unnamed:_113,unnamed:_114,unnamed:_115,unnamed:_116,unnamed:_117,unnamed:_118,unnamed:_119,unnamed:_120,unnamed:_121,2024,unnamed:_123,unnamed:_124,unnamed:_125,unnamed:_126,unnamed:_127,unnamed:_128,unnamed:_129,unnamed:_130,unnamed:_131,unnamed:_132,unnamed:_133,2025,unnamed:_135,unnamed:_136,unnamed:_137,unnamed:_138,unnamed:_139,unnamed:_140,unnamed:_141,unnamed:_142,unnamed:_143,unnamed:_144
,(KSHS M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov
,Required reserves,"100,001","100,899","101,179","103,129","105,814","107,354","108,527","110,034","112,237","113,474","114,282","115,641","119,007","119,104","122,789","122,449","125,447","128,107","131,382","129,196","130,660","130,911","127,927","132,447","135,715","131,913","132,380","129,778","131,522","131,761","133,615","132,294","133,709","136,716","135,930","136,372","135,062","135,199","136,356","139,504","145,763","143,910","143,935","146,627","147,267","147,687","148,000","147,887","149,619","150,367","149,247","150,402","152,906","156,944","159,387","159,674","163,368","163,006","163,369","163,125","166,567","166,366","165,873","170,058","168,596","174,962","174,981","181,108","176,514","175,865","179,168","175,579","179,445","179,350","147,674","150,494","151,795","153,543","158,921","160,750","158,649","158,866","160,090","162,017","162,334","162,328","164,937","164,521","165,599","167,023","168,334","172,147","174,397","171,780","175,025","175,025","177,440","175,224","176,729","179,300","182,671","183,008","186,240","188,140","187,293","187,130","187,206","187,132","190,013","191,574","193,339",196261.4176,196268.4481,199387.6555,209810.5127,214648.456,219024.2257,222875.8205,224354.375,227780.8631,232015.8541,234955.9278,229881.6803,221476.8051,222882.0186,224291.7056,227834.8447,226300.7617,228739.1045,228313.8286,227923.3577,228739.1045,175221.2794,175148.4754,177775.0262,178636.6227,182847.584,182906.764,184485.2533,185132.4805,186001.5643,188721.5815,190245.6857
,Excess reserves,"4,792","16,907","9,687","12,412","12,779","16,413","-10,443","41,093","9,734","27,613","1,901","42,119","18,287","18,394","5,355","10,452","17,747","18,198","22,820","10,040","24,047","77,019","33,224","19,051","21,531","24,140","37,544","19,115","27,295","23,673","11,567","21,928","26,435","19,023","9,989","12,038","23,245","15,405","33,078","18,202","17,568","3,524","13,797","17,604","26,559","9,368","5,575","11,732","26,076","9,172","6,377","7,517","19,319","13,340","1,089","22,819","28,858","15,340","20,537","40,600","28,906","7,378","18,680","9,812","46,431","15,300",-822.0542225,"-2,811","24,185","9,787","9,027","26,569","19,824","28,370","51,056","42,021","30,885","15,548","17,495","47,727","25,437","13,285","24,711","17,304","6,121","1,649","4,432","14,860","25,777","5,642","-4,102","18,545","21,571","21,457","15,534","36,316","16,941","21,361",854.9776781,"20,796","24,346","30,567","24,691","60,289","61,908","36,079","17,638","3,459","34,381","15,402","6,916",4098.162386,41047.07607,-27081.71918,-8316.034159,16370.57036,46231.81057,7867.236781,22358.72255,16401.98669,-1931.398373,31841.34324,10539.11824,-1334.23015,13595.5694,21633.34048,13416.04741,34467.36182,19256.7532,33325.98612,30265.32741,21659.33166,78338.54542,3504.74775,52393.10314,33786.24415,29225.35919,32536.26228,-4826.396035,55037.27261,27651.79703,8118.68506,9363.734875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposits included in Broad Money,"77,751","78,156","73,734","71,552","84,434","69,177","75,754","90,582","75,378","62,584","68,194","55,422","65,784","53,584","55,097","71,894","59,217","50,222","67,035","59,668","48,528","56,423","62,299","60,702","53,139","44,052","54,138","58,355","72,101","66,676","63,892","78,557","71,920","65,290","63,232","55,129","54,572","54,590","53,498","64,575","64,882","81,271","70,692","58,052","59,704","51,537","57,928","41,389","47,328","50,619","64,541","65,119","54,945","81,245","90,848","70,932","70,758","64,370","68,322","71,704","94,716","84,783","86,156","95,560","83,397","165,828","88,901","65,228","111,436","85,244","82,614","73,371","82,579","89,770","90,659","101,307","110,547","132,182","84,169","93,754","77,169","101,416","86,320","100,670","109,512","100,146","85,425","93,727","85,685","143,477","86,421","106,780","106,399","108,414","86,790","96,335","95,073","102,824","71,084","90,468","74,202","103,451","83,971","67,322","82,070","74,053","89,154","88,846","87,709","74,017","79,496",128187.4394,117887.6408,159623.8748,133417.6291,111134.1484,104582.7946,92444.63949,83777.47912,98036.75973,103807.0645,101590.9756,83897.6334,101025.1148,104169.7713,158883.0318,115929.562,97435.72968,101114.6437,93483.06491,123488.7388,114097.2786,104410.648,118248.9751,99671.84709,125465.6362,131553.8052,175875.503,100933.3664,111528.5513,101267.7455,114935.0711,116459.1002
,Vertical Check,2.04E-10,-3.78E-10,-2.18E-10,-3.93E-10,-2.91E-10,-4.66E-10,5.68E-10,1.11E-09,4.95E-10,4.44E-10,-2.18E-10,7.20E-10,1.89E-10,2.18E-10,5.89E-10,-0.4411,-13.777245,-21.876525,5.97E-10,7.64E-10,6.55E-10,0,-2.91E-10,-1.31E-10,3.20E-10,-2.18E-10,6.26E-10,-7.28E-11,0,0,5.40E-08,4.22E-10,1.75E-10,-4.66E-10,-2.91E-10,1.60E-10,5.17E-10,4.51E-10,-3.78E-10,-5.82E-10,2.62E-10,0,"-3,285",-5.82E-11,2.47E-10,"1,340",4.66E-10,-2.55E-10,3.78E-10,5.89E-10,-3.27E-10,-4.22E-10,1.46E-10,0,-3.64E-10,-3.78E-10,-5.97E-10,-4.07E-10,0,-5.82E-10,2.04E-10,0,0,0,0,0,-3.78E-10,5.24E-10,5.97E-10,0,0,1.46E-10,-2.04E-10,1.75E-10,-1.60E-10,-2.62E-10,0,0,1.46E-10,0,0,1.46E-10,0,0,-1.31E-10,-3.20E-10,0,0,0,0,0,-2.18E-10,0,-2.62E-10,0,0,0,0,0,0,0,-2.62E-10,0,2.91E-10,-1.46E-10,0,0,1.31E-10,-2.04E-10,0,0,0,1.46E-10,0,0,3.49E-10,0,1.31E-10,-2.04E-10,-1.60E-10,-2.91E-10,-1.46E-10,0,3.20E-10,2.33E-10,0,-1.16E-10,1.46E-10,0,2.04E-10,-3.20E-10,0.00E+00,2.76E-10,-4.22E-10,-4.07E-10,-5.24E-10,,0,-4.80E-10,,,-2.04E-10,-4.66E-10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,Other Depository Corporation Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,i)Commercial Banks ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Foreign assets,"-43,705","-64,594","-71,556","-59,985","-72,597","-85,947","-66,473","-74,697","-105,905","-115,900","-109,742","-109,454","-95,907","-88,329","-107,389","-96,130","-122,609","-132,419","-147,788","-155,731","-140,245","-156,200","-139,381","-133,727","-145,985","-166,024","-173,038","-148,259","-159,315","-133,039","-133,172","-109,911","-99,001","-107,673","-86,367","-129,521","-111,352","-97,964","-97,688","-83,714","-97,308","-97,244","-93,921","-81,616","-85,372","-91,527","-102,398","-111,865","-112,352","-122,904","-106,148","-103,168","-93,113","-26,329","-44,322","-44,663","-26,916","-64,862","-39,945","-25,323","-43,168","-35,134","-28,279",576.6291731,"-21,056","-2,369","-25,186","-23,788","-37,725","-5,453","-44,344","-29,684","-27,538","-8,858","-36,773","-36,654","-15,047","-33,269","-45,451","-39,517","-56,936","-13,842","-22,479","6,286","24,416","11,404",-376.627303,"-14,735","-42,679","-52,468","-73,507","-70,828","-98,753","-104,314","-128,645","-110,062","-158,811","-140,713","-171,826","-166,472","-191,245","-183,984","-192,346","-227,108","-274,604","-253,933","-254,443","-253,303","-229,197","-220,943","-124,426",-137168.0489,-119433.1856,-27693.55118,61654.56207,153877.0303,192795.198,232581.6733,275034.6019,307359.9978,375019.0695,472160.9589,366867.6447,423911.1173,410976.8831,431457.0444,508656.4794,477998.2134,421250.4675,312410.0937,299378.9244,234759.075,258375.8945,249757.2291,276119.9522,262366.2987,252777.8799,256021.7016,236793.8908,270795.0166,196665.581,239400.1936,302441.1395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Domestic Assets,"1,850,427","1,877,167","1,916,971","1,944,039","1,988,467","2,021,639","2,031,661","2,084,853","2,135,579","2,158,973","2,178,624","2,217,204","2,193,178","2,255,013","2,261,932","2,294,421","2,368,593","2,441,027","2,428,849","2,474,373","2,463,166","2,508,810","2,520,977","2,559,092","2,547,285","2,590,317","2,622,434","2,618,864","2,641,202","2,657,596","2,626,398","2,610,283","2,625,557","2,613,269","2,610,761","2,619,726","2,613,352","2,620,080","2,682,354","2,705,774","2,729,364","2,737,930","2,766,423","2,778,136","2,798,365","2,787,655","2,810,113","2,843,481","2,848,861","2,855,118","2,832,062","2,869,712","2,939,769","2,955,007","2,979,859","2,982,345","2,968,582","3,005,772","2,976,265","3,023,086","3,041,646","3,032,299","3,094,907","3,054,143","3,095,626","3,166,224","3,222,543","3,200,065","3,206,002","3,217,541","3,188,422","3,237,928","3,240,392","3,282,108","3,368,542","3,397,102","3,415,811","3,527,681","3,601,132","3,530,378","3,555,321","3,563,016","3,613,281","3,601,200","3,586,362","3,648,412","3,671,389","3,684,465","3,721,512","3,764,742","3,866,923","3,907,537","3,878,458","3,912,734","3,979,174","3,933,547","3,938,972","3,958,715","4,020,137","4,094,764","4,134,750","4,218,122","4,285,175","4,289,192","4,313,568","4,307,608","4,318,022","4,385,339","4,391,711","4,429,603","4,409,794",4433638.825,4481530.527,4598985.197,4611773.656,4646759.133,4678734.277,4680267.981,4711553.089,4746992.79,4746067.677,4524529.851,4427823.835,4394614.12,4418018.351,4450607.717,4453438.225,4496180.854,4532356.375,4618535.721,4708763.829,4776722.68,4759895.784,4790450.909,4797958.219,4870938.133,4955364.715,5001549.423,5047581.552,5026725.308,5108170.248,5077984.772,5128917.577
,Domestic Credit,"2,259,282","2,300,842","2,339,144","2,367,243","2,413,771","2,449,443","2,490,610","2,529,414","2,583,061","2,626,240","2,657,282","2,699,518","2,670,983","2,745,184","2,779,934","2,793,897","2,867,640","2,936,140","2,933,646","2,983,154","2,966,613","3,047,163","3,058,771","3,101,859","3,094,372","3,145,130","3,188,322","3,207,496","3,233,627","3,267,850","3,217,013","3,232,053","3,261,486","3,281,381","3,282,962","3,295,221","3,293,415","3,302,656","3,363,215","3,349,432","3,377,625","3,396,803","3,409,223","3,436,310","3,455,286","3,467,277","3,481,967","3,508,510","3,530,202","3,541,259","3,519,806","3,563,368","3,625,042","3,655,918","3,678,934","3,738,214","3,739,480","3,806,994","3,766,047","3,780,315","3,832,234","3,826,958","3,916,956","3,882,950","3,937,327","4,018,675","4,073,984","4,074,288","4,072,788","4,106,859","4,080,076","4,115,114","4,114,146","4,159,925","4,276,095","4,282,462","4,328,183","4,463,669","4,537,816","4,494,606","4,506,357","4,537,697","4,594,815","4,580,574","4,586,408","4,666,761","4,689,902","4,704,921","4,756,471","4,830,315","4,924,721","4,992,148","4,976,591","5,034,224","5,121,237","5,154,566","5,169,271","5,166,813","5,248,477","5,280,385","5,308,984","5,372,493","5,447,785","5,470,653","5,488,716","5,505,731","5,557,696","5,565,785","5,587,040","5,622,429","5,649,975",5607628.63,5647340.996,5772496.383,5780669.483,5827024.728,5867126.477,5890048.365,5964829.465,5989161.329,6012320.301,5826946.241,5782500.058,5763146.797,5741517.668,5795846.576,5829991.91,5822137.95,5847607.603,5968961.336,6147494.071,6254556.439,6275949.933,6330208.316,6365769.155,6453860.264,6524383.466,6605284.236,6679569.462,6684076.759,6828204.365,6824444.95,6873173.688
,Central Government (Net),"485,582","491,059","492,119","463,151","475,320","501,039","529,943","522,718","501,387","505,306","533,194","516,192","538,880","551,771","569,835","585,312","589,745","581,399","526,349","511,248","487,885","527,956","565,115","580,895","561,612","623,549","637,042","667,898","695,773","722,311","703,719","695,103","726,897","717,147","724,286","695,742","677,478","675,396","708,537","726,997","766,389","818,407","797,905","814,888","849,177","837,816","834,395","817,004","839,043","877,644","872,625","881,713","906,567","954,849","1,001,905","980,815","995,560","1,014,239","1,002,758","955,472","1,013,583","1,090,537","1,073,078","1,096,450","1,085,444","1,072,578","1,104,974","1,095,549","1,047,111","1,069,684","1,088,295","1,083,994","1,121,956","1,152,860","1,171,858","1,203,965","1,227,619","1,250,597","1,361,155","1,371,978","1,405,744","1,403,667","1,404,653","1,391,296","1,413,403","1,427,562","1,452,017","1,452,777","1,479,099","1,510,597","1,552,284","1,602,797","1,627,942","1,633,484","1,674,426","1,689,607","1,739,044","1,728,377","1,722,945","1,718,582","1,722,195","1,719,911","1,747,189","1,750,843","1,743,221","1,724,171","1,777,075","1,784,530","1,790,469","1,807,056","1,739,305",1740136.868,1690506.432,1793528.55,1712156.286,1724815.231,1697168.471,1708210.688,1739210.202,1720270.049,1716998.976,1656855.181,1622396.325,1653567.362,1648731.942,1701572.276,1723762.198,1749099.764,1721865.23,1766758.585,1945875.371,1960115.957,2005386.098,2104536.745,2068850.349,2148779.294,2079906.888,2228133.372,2246909.6,2303162.525,2327320.716,2254657.183,2296653.237
,County Government (Net),"3,431",106.2031989,"3,175","3,050","3,049","3,048","3,092",141.4094299,128.6762578,125.0056971,139.7800661,275.5274168,549.4106204,375.1126133,372.4985061,368.2187162,"12,150",412.3761794,364.4052225,"3,537","3,603","3,645","3,589","5,190","3,532","3,530","3,471","3,488","3,529","3,572","3,631","3,690","3,711","3,759","5,920","3,807","3,910","3,842","3,848","3,862","3,893","3,893","4,942","4,111","4,209","4,109","3,991","3,975","4,185","4,198","4,228","4,228","4,367","4,358","4,381","4,406","4,360","4,329","4,345","4,342","4,368","4,360","4,316","4,334","4,292","4,286","4,289","4,311","4,510","4,303","4,297","4,299","4,307","4,300","4,146","4,282","4,295","4,391","4,389","4,195","4,626","4,277","4,212","5,654","6,009","5,705","5,741","6,245","6,600","6,642","6,782","6,728","6,634","6,419","6,149","18,262","5,867","6,188","6,780","6,718","6,256","5,816","5,712","5,808","5,252","5,603","7,341","6,271","6,245","6,197","6,834",7200.032462,6542.69698,6948.092748,5629.404028,5888.331989,5349.327549,5371.772788,5194.460131,5413.210567,5426.770788,5335.559552,5491.149496,5794.419247,6622.012183,6575.108491,6618.383538,7209.271507,7198.371205,7482.817983,2804.179274,2226.128845,7001.98393,6989.0261,17954.94188,17913.42386,9873.217178,16059.4004,16029.08245,14545.72467,13935.08852,16090.18087,17630.7707
,Public Non Financial Corp,"35,807","36,657","36,213","39,591","36,394","37,549","35,998","38,376","51,588","48,986","48,979","48,753","55,655","65,132","68,261","68,726","62,398","82,442","82,856","81,204","79,789","82,911","78,364","77,456","77,487","78,810","78,687","76,183","76,341","73,858","82,822","81,508","84,486","90,152","97,759","98,500","104,278","98,533","100,445","101,617","98,911","101,299","104,405","105,609","107,848","106,886","106,758","106,804","109,481","107,789","107,818","107,622","108,110","106,994","103,530","103,733","103,711","100,977","102,407","96,159","95,515","96,400","95,010","94,375","98,178","93,504","92,929","93,874","95,003","94,962","96,069","87,631","87,719","86,114","86,046","87,294","88,865","83,466","83,394","60,770","61,961","62,800","64,536","63,612","64,057","62,934","62,061","55,275","59,016","56,061","54,666","52,924","52,800","52,876","57,507","60,711","57,535","56,388","57,904","62,190","59,884","55,936","55,076","56,482","50,024","51,170","51,733","53,187","58,151","51,025","61,714",58454.99266,58555.92124,52356.1671,65895.66644,60769.69722,68666.78899,83171.88385,81136.27699,71383.72372,71711.11629,67794.39817,63024.63764,51352.15377,52275.20983,57346.86352,57055.04606,60636.94768,56261.86102,50205.14632,46874.91459,46417.98061,46210.68442,46620.55668,38199.0766,23014.13515,30116.26015,25856.53615,19503.32246,19029.48072,18925.75376,21777.84579,19469.16841
,Private sector credit ,"1,504,518","1,529,663","1,557,527","1,589,945","1,622,702","1,662,573","1,685,633","1,712,041","1,743,363","1,762,815","1,792,249","1,822,899","1,875,846","1,893,949","1,900,203","1,940,686","1,991,683","2,021,045","2,066,374","2,102,617","2,134,071","2,166,793","2,185,097","2,203,036","2,205,427","2,202,470","2,206,811","2,224,356","2,228,668","2,206,400","2,231,152","2,250,902","2,267,119","2,282,614","2,290,973","2,314,275","2,308,783","2,301,498","2,294,943","2,288,988","2,290,488","2,289,330","2,293,747","2,296,976","2,322,145","2,334,454","2,360,808","2,376,455","2,355,099","2,348,834","2,344,255","2,351,179","2,371,704","2,378,354","2,383,200","2,385,958","2,403,688","2,423,953","2,419,181","2,418,224","2,419,984","2,427,242","2,449,437","2,472,970","2,488,928","2,515,311","2,533,736","2,547,021","2,578,172","2,590,161","2,612,854","2,606,470","2,608,488","2,621,207","2,688,640","2,700,826","2,703,538","2,713,499","2,750,780","2,776,806","2,797,025","2,782,693","2,816,017","2,835,602","2,858,185","2,881,873","2,877,565","2,876,952","2,884,959","2,920,232","2,913,927","2,960,182","2,994,600","3,027,929","3,061,962","3,085,632","3,128,158","3,159,804","3,207,555","3,238,246","3,239,298","3,298,601","3,360,930","3,358,087","3,415,460","3,457,387","3,456,804","3,489,340","3,507,154","3,536,185","3,618,483",3660481.801,3672665.603,3696715.968,3702047.102,3776698.553,3825566.421,3874395.773,3915044.416,3979342.67,3988321.505,3906753.233,3902394.83,3911648.789,3856817.478,3879846.513,3841989.099,3849168.278,3863971.412,3875480.899,3882944.929,3921860.659,3878836.686,3854000.842,3893257.567,3920638.145,3931762.886,3947726.571,3974744.723,3987361.195,4052747.128,4099362.075,4109618.431
,Credit to Other Financial Corporations(Net),"74,891","77,222","76,746","77,573","79,631","82,646","83,193","86,898","90,099","92,325","93,030","95,570","14,122","13,942","14,383","15,913","14,875","26,913","26,075","24,294","26,839","17,477","17,407","18,686","16,266","17,336","17,068","10,129","15,136","46,934","21,010","14,217","18,808","12,768","11,017","14,539","14,940","14,343","14,769","13,274","12,954","12,899","12,313","12,735","12,032","13,587","13,314","12,143","13,946","15,195","16,211","15,521","16,473","15,798","16,048","15,281","15,200","15,534","17,616","18,979","18,335","19,660","19,226","19,524","19,503","18,053","20,974","22,986","27,758","28,224","26,966","26,059","23,456","23,956","22,623","22,148","21,821","22,237","21,857","22,616","25,021","43,949","45,555","25,268","28,886","29,019","29,819","27,805","26,288","26,899","27,223","26,781","26,587","24,180","23,844","22,760","23,104","22,446","32,618","23,750","25,965","22,060","22,529","22,395","22,607","19,438","20,012","20,296","20,550","20,628","23,536",24153.53173,23820.91689,20419.92242,23316.44948,23174.36997,25395.15724,20062.91336,20075.73524,22112.4517,20971.89972,25200.54232,24118.3567,24585.34286,24893.50738,24689.33849,24762.43483,24503.94633,25006.1995,22675.92164,21899.25771,22547.39652,21732.82411,21846.69552,21557.25556,19431.22724,20377.53469,21190.26457,18828.39613,19388.79679,21141.86679,21429.15141,20525.8883
,Credit to CBK(Net),"155,052","166,135","173,364","193,932","196,675","162,587","152,751","169,240","196,495","216,683","189,691","215,828","185,931","220,016","226,878","182,892","196,789","223,928","231,628","260,253","234,426","248,381","209,199","216,596","230,049","219,436","245,244","225,442","214,180","214,774","174,679","186,632","160,465","174,940","153,008","168,358","184,027","209,044","240,673","214,694","204,990","170,973","195,910","201,990","159,875","170,426","162,701","192,130","208,447","187,597","174,670","203,104","217,821","195,566","169,871","248,022","216,961","247,963","219,740","287,139","280,449","188,760","275,889","195,299","240,983","314,944","317,082","310,548","320,234","319,526","251,594","306,661","268,220","271,488","302,782","263,947","282,046","389,478","316,241","258,241","211,979","240,312","259,842","259,142","215,867","259,668","262,699","285,867","300,510","309,883","369,839","342,735","268,027","289,334","297,349","277,595","215,563","193,610","220,675","230,899","255,386","270,168","256,349","277,039","252,151","247,962","244,732","212,161","204,471","201,339","200,104",117201.4039,195249.4264,202527.682,271624.5748,235678.5454,244980.3105,198835.334,204168.3748,190639.2242,208890.0337,165007.327,165074.7591,116198.7293,152177.518,125816.4751,175804.7485,131519.7418,173304.5293,246357.9652,247095.419,301388.3169,316781.6561,296214.4513,325949.9644,324084.0397,452346.6795,366318.0918,403554.3379,340589.0366,394133.8117,411128.5135,409276.192
,Other Items (Net ) ,"37,325","23,301","30,321","36,960","25,923","30,428","10,744","34,015","40,000","32,245","32,228","46,325","44,628","33,020","17,478","36,893","37,183","47,864","42,161","39,909","51,638","-10,453","6,459","11,481","-9,853","-11,782","-18,890","-28,446","-27,693","-39,184","-15,363","-51,876","-55,160","-78,293","-81,873","-88,691","-93,039","-88,575","-80,066","-62,405","-67,170","-71,463","-46,361","-53,697","-57,025","-88,327","-76,139","-39,460","-74,737","-73,657","-104,759","-96,871","-101,525","-109,448","-97,573","-144,448","-149,271","-175,298","-162,218","-130,880","-152,465","-141,498","-157,368","-157,113","-186,871","-183,291","-172,733","-186,727","-175,474","-189,845","-185,158","-174,632","-163,748","-174,281","-205,345","-182,461","-202,112","-217,038","-205,663","-227,132","-212,078","-223,201","-222,921","-213,518","-225,787","-234,305","-233,272","-242,689","-249,002","-265,352","-243,414","-257,272","-265,548","-280,731","-296,684","-368,173","-379,763","-353,541","-366,368","-327,759","-326,428","-311,905","-314,800","-313,359","-308,238","-319,738","-327,373","-278,378","-267,592","-286,315","-326,396",-277177.4705,-280238.1462,-278996.7736,-270302.9254,-284439.2101,-289801.6334,-290843.8585,-315900.7689,-306787.6116,-310675.942,-324264.8141,-348519.1193,-349454.9657,-311720.3517,-320299.9963,-333865.1692,-302907.4972,-274535.1064,-281956.9282,-325059.3235,-338948.9024,-345745.8797,-322552.3866,-337472.2382,-353484.3062,-358891.5653,-366946.078,-372139.9522,-362565.3243,-404552.1058,-405786.6089,-428400.8631
,Of which;  Capital Accounts,"446,180","446,975","452,493","460,164","451,227","458,231","469,694","478,576","487,481","499,512","510,886","528,638","522,432","523,192","535,479","536,368","536,230","542,977","546,958","548,689","555,085","527,900","544,253","554,248","537,234","543,031","546,998","560,187","564,732","571,070","575,253","569,894","580,770","589,819","590,328","586,804","587,024","594,001","600,794","581,253","581,090","587,409","596,439","604,477","599,897","591,296","595,715","625,568","606,604","612,484","582,985","596,784","583,748","591,463","601,503","611,421","621,626","625,923","627,564","626,348","638,124","653,161","664,681","671,695","654,829","669,160","678,709","687,497","691,312","699,474","706,496","702,554","710,006","703,537","702,208","702,899","710,261","718,950","731,021","737,095","738,958","751,480","758,614","765,855","774,259","784,044","785,241","777,768","785,957","800,221","814,384","827,339","832,584","840,758","845,378","852,846","850,536","854,557","861,971","857,862","847,806","842,465","847,810","868,103","866,911","878,385","912,302","902,069","927,736","906,512","913,786",896812.3337,885572.3227,894514.412,898592.9016,895826.385,898590.5661,918936.5258,937375.6076,935380.9269,955576.6822,978151.576,1006157.104,1019077.711,1011778.965,1024938.862,1042688.516,1023049.599,1040716.122,1068468.687,1113670.918,1138884.857,1170308.269,1217205.021,1230338.698,1229437.826,1210127.185,1236788.735,1259847.958,1294786.126,1315482.011,1340673.569,1315855.248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposits included in Broad Money,"1,806,721","1,812,573","1,845,415","1,884,054","1,915,870","1,935,692","1,965,188","2,010,157","2,029,674","2,043,073","2,068,882","2,107,750","2,097,271","2,166,684","2,154,543","2,198,292","2,245,985","2,308,608","2,281,061","2,318,642","2,322,921","2,352,610","2,381,596","2,425,365","2,401,301","2,424,293","2,449,396","2,470,605","2,481,887","2,524,557","2,493,226","2,500,354","2,526,556","2,505,595","2,524,394","2,490,205","2,501,999","2,522,116","2,584,667","2,622,060","2,632,057","2,640,686","2,672,502","2,696,520","2,712,993","2,696,127","2,707,715","2,731,616","2,736,509","2,732,213","2,725,913","2,766,544","2,846,655","2,928,678","2,935,537","2,937,462","2,941,447","2,940,690","2,936,100","2,997,505","2,998,258","2,996,946","3,066,408","3,054,499","3,074,350","3,163,634","3,197,137","3,176,057","3,168,056","3,211,868","3,143,858","3,208,024","3,212,634","3,273,030","3,331,549","3,360,228","3,400,543","3,494,192","3,555,461","3,490,642","3,498,165","3,548,955","3,590,581","3,607,266","3,610,558","3,659,596","3,670,792","3,669,509","3,678,833","3,712,274","3,793,415","3,836,709","3,779,706","3,808,420","3,850,529","3,823,485","3,780,162","3,818,002","3,848,311","3,928,293","3,943,504","4,034,138","4,092,829","4,062,083","4,038,964","4,053,675","4,063,578","4,132,035","4,162,514","4,208,660","4,285,367",4296470.722,4362097.288,4571291.593,4673428.162,4800636.111,4871529.424,4912849.601,4986587.637,5054352.738,5121086.693,4996690.758,4794691.427,4818525.184,4828995.168,4882064.709,4962094.653,4974179.013,4953606.793,4930945.76,5008142.698,5011481.702,5018271.628,5040208.085,5074078.118,5133304.378,5208147.542,5257238.637,5284375.389,5297520.272,5304835.777,5317384.912,5431358.663
